TIMESTAMP_START,H_CORR,LE_CORR,H_F_MDS_QC,LE_F_MDS_QC,G_F_MDS,G_F_MDS_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,NETRAD,USTAR,RH,PPFD_IN,PPFD_OUT,SWC_F_MDS_1,SWC_F_MDS_1_QC,SWC_F_MDS_2,SWC_F_MDS_2_QC,SWC,CO2_F_MDS,CO2_F_MDS_QC,SW_IN_POT,fPAR,Es,Delta,r,Density,L,ksi,Ra,Ga,Rs,Gs,VPD_leaf,lai
2012-10-26 02:00:00,-24.2125,,1,1,-21.4022,0.0,1.52449,,5.13184,1,1.682,0,0.0,0,0.0,0,90.211,0,0.0,0,0.285,0,-53.89,0.13258,,0.0,0.0,30.19,0,29.531999999999996,0,30.19,499.17800000000005,1,0.0,,0.6795797913621752,0.0487620580513429,0.0587794856242893,,,,340.4649558275748,0.0029371598541449,,,,
2012-10-26 02:00:30,-25.3251,,1,1,-21.0889,0.0,1.04746,,5.5353,1,1.577,0,0.0,0,0.0,0,90.18,0,0.0,0,0.2,0,-54.15,,,0.0,0.0,30.191,0,29.548000000000002,0,30.191,533.007,0,0.0,,0.674476568477179,0.0484384400560034,0.0587534561440773,,,,485.16256205429397,0.0020611648099263,,,,
2012-10-26 03:00:00,26.557,,0,1,-20.4981,0.0,1.07447,,5.5353,1,1.6540000000000001,0,0.0,0,0.0,0,90.14200000000001,0,0.0,0,0.03,0,-51.42,0.37093000000000004,,0.0,0.0,30.191,0,29.549,0,30.191,531.318,0,0.0,,0.6782156078322299,0.0486755787980876,0.0587329724794372,,,,3234.4170803619604,0.0003091747214889,,,,
2012-10-26 03:00:30,-27.0906,,1,1,-19.7075,0.0,1.0134,,5.5353,1,1.5219999999999998,0,0.0,0,0.0,0,90.096,0,0.0,0,0.07400000000000001,0,-53.2,0.14589000000000002,,0.0,0.0,30.191,0,29.549,0,30.191,499.616,1,0.0,,0.6718169869711078,0.0482696636840473,0.0586956782382347,,,,1311.250167714308,0.0007626309796727,,,,
2012-10-26 04:00:00,-27.1566,,1,1,-19.6052,0.0,1.26793,,5.33024,1,1.675,0,0.0,0,0.0,0,90.04899999999998,0,0.0,0,0.1669999999999999,0,-54.29,0.15205,,0.0,0.0,30.191,0,29.549,0,30.191,498.44,1,0.0,,0.6792385184333283,0.0487404258708035,0.0586735418435741,,,,581.0330084482564,0.0017210726162884,,,,
2012-10-26 04:00:30,-10.8981,,0,0,-20.1242,0.0,1.27381,,5.33024,1,1.702,0,0.0,0,0.0,0,90.015,0,0.0,0,0.22,0,-60.71,0.0654899999999999,,0.0,0.0,30.19400000000001,0,29.549,0,30.19400000000001,528.352,0,0.0,,0.6805556916481994,0.0488239097446002,0.0586528850573228,,,,441.0568745948127,0.0022672812909189,,,,
2012-10-26 05:00:00,-25.7952,13.2374,1,0,-18.7657,0.0,1.30435,,5.18994,1,1.482,0,0.0,0,0.0,0,89.991,0,0.0,0,0.46,0,-62.04,0.10025,,0.0,0.0,30.201,0,29.549,0,30.201,533.836,0,0.0,,0.6698885694253836,0.0481472348841915,0.0586250569330308,,,,210.94024437143216,0.0047406790628305,,,,
2012-10-26 05:00:30,-25.0273,,1,1,-19.6178,0.0,1.6002,,11.9121,0,1.295,0,0.0,0,0.0,0,89.959,0,0.0,0,0.159,0,-62.46,0.14909,,0.0,0.0,30.205,0,29.549,0,30.205,529.431,0,0.0,,0.6609379383448457,0.0475784137603987,0.0585938565838447,,,,610.2673736532,0.0016386260238914,,,,
2012-10-26 06:00:00,-23.8029,0.853467,1,1,-19.4846,0.0,2.1524,,4.23641,1,1.0190000000000001,0,0.0,0,0.0,0,89.935,0,0.0,0,0.299,0,-62.31,0.16398,,0.0,0.0,30.206,0,29.551,0,30.206,525.625,0,0.0,,0.6479204411300615,0.0467494278363477,0.0585629536479983,,,,324.52345287912635,0.0030814413908398,,,,
2012-10-26 06:00:30,-24.6362,,1,1,-20.979,0.0,1.7675,0.181924,4.64231,1,1.295,0,3.949,0,0.0,0,89.911,0,0.0,0,0.18600000000000003,0,-58.236999999999995,,,7.36096,0.4795100000000001,30.218000000000004,0,29.553,0,30.218000000000004,517.617,0,2.47023,0.9348576816067471,0.6609379383448457,0.0475784137603987,0.0585625922843747,,,,521.6801742519289,0.0019168832732314,,,,
2012-10-26 07:00:00,-19.1927,,0,0,-21.7434,0.0,3.7282800000000003,1.01836,2.17769,1,1.546,0,23.094,0,0.0,0,89.89200000000002,0,0.0,0,0.385,0,-38.2759,0.13238,,41.4387,3.56976,30.226,0,29.554000000000002,0,30.226,519.518,0,81.7076,0.9138544404143952,0.6729763901114695,0.0483432493029882,0.0585641046681847,,,,252.0324997684644,0.0039677422591081,,,,
2012-10-26 07:00:30,-19.8545,,1,1,-20.944000000000013,0.0,4.3364,1.8974099999999998,1.78715,1,1.89,0,45.126999999999995,0,0.0,0,89.875,0,0.0,0,0.252,0,-26.2803,0.12225,,84.7214,7.4591,30.224,0,29.554000000000002,0,30.224,500.466,1,193.209,0.9119573094873314,0.6897898409054485,0.0494086184354806,0.0585720699008398,,,,385.0496524240429,0.0025970676605071,,,,
