"","Site","Lat","Lon","Datetime","PFT","Climate","Tair","SW","RH","VPD","WS","Ca","SWC","LAI","flag_rain","flag_daytime","flag_GS","flag_peak","Gs"
"304379","US-ARM",36.6058,-97.4888,"2005-11-22 13:00:00","CRO","Temperate",14.04,536.6,44.53,0.893,4.37,363.47,0.15975,0.68857557,0,1,1,0,0.0545155201923983
"74088","US-Ton",38.4309,-120.966,"2003-03-25 15:00:00","WSA","Temperate",20.27,572.365,43.24,1.349,1.764,370.427,0.424,1.5756049,0,1,1,1,0.259682300300415
"360552","NL-Loo",52.1666,5.7436,"2008-07-05 12:30:00","ENF","Temperate",22.17,751,50,1.3361,3.02,388.15,0.049,2.4617028,0,1,1,1,0.287077209230159
"683780","CA-TP4",42.7102,-80.3574,"2004-07-24 16:30:00","ENF","Continental",21.37,490.853,30.27,1.774,3.129,365.007,0.0552,3.7771668,0,1,1,1,0.0999194062828401
"765588","BE-Vie",50.3049,5.9981,"2002-03-26 16:30:00","MF","Temperate",6.91,283,35,0.6474,2.596,384.852,0.292,1.4565837,0,1,1,0,0.131396735853097
"20672","US-Wkg",31.7365,-109.9419,"2012-10-30 15:30:00","GRA","Arid",24.83,333.8,12.983,2.729,3.53,393.414,0.06,0.29559475,0,1,1,0,0.0054940665721698
"629429","DE-Gri",50.95,13.5126,"2011-05-19 14:00:00","GRA","Continental",25.3,531,32.55,2.1757,1.66,375.75,0.2872,6.4158416,0,1,1,1,0.351397946892301
"319418","US-ARb",35.5497,-98.0402,"2006-05-16 16:00:00","GRA","Temperate",23.61,548.8,37.96,1.816,4.824,357.54,0.3107,1.2941822,0,1,1,1,0.127352372352794
"704974","CA-TP3",42.7068,-80.3483,"2009-07-20 10:30:00","ENF","Continental",20.62,942.24,67.62,0.787,1.965,368.461,0.073,3.729084,0,1,1,1,0.277794777942439
"479836","IT-Isp",45.8126,8.6336,"2013-04-23 09:30:00","DBF","Continental",15.4,674.049,57.7,0.7404,0.989,401.024,0.26905,1.2397568,0,1,1,0,0.263771014378302
"22178","US-Wkg",31.7365,-109.9419,"2013-09-22 09:00:00","GRA","Arid",23.5,618.1,53.624,1.343,4.183,388.021,0.17,0.38923776,0,1,1,1,0.0906525836305275
"113709","US-Syv",46.242,-89.3477,"2004-10-21 10:30:00","MF","Continental",8.224,407.418,74.804,0.276,3.747,384.744,0.182,0.84307247,0,1,1,0,0.412154139527391
"640087","DE-Geb",51.0997,10.9146,"2006-06-09 08:00:00","CRO","Continental",15.35,493.047,73.98,0.454,0.5,407.986,0.317,2.8564398,0,1,1,0,0.0519392267295466
"631927","DE-Gri",50.95,13.5126,"2012-09-08 12:30:00","GRA","Continental",20.57,333.09,62.85,0.9001,3.67,382.11,0.3056,5.4432068,0,1,1,1,0.621097237836688
"138550","US-SRM",31.8214,-110.8661,"2014-07-19 14:30:00","WSA","Arid",32.591,706.1,23.103,3.782,1.412,390.998,0.0713999999999999,0.48703945,0,1,1,1,0.0304621685888457
"936956","AU-DaS",-14.1593,131.3881,"2011-10-31 10:00:00","SAV","Tropical",30.67,484,57,1.8963,1.62,365.4,0.0409999999999999,1.3189256,0,1,1,1,0.165838729036914
"242010","US-KS2",28.6086,-80.6715,"2005-08-29 11:30:00","CSH","Temperate",32.061,608.9,63.19,1.759,2.194,371.505,0.048,2.2933831,0,1,1,0,0.235733874116638
"701008","CA-TP3",42.7068,-80.3483,"2005-04-13 10:00:00","ENF","Continental",9.39,780,30.49,0.82,2.461,394.976,0.16,1.1787093,0,1,1,0,0.0696672409027826
"529227","FI-Hyy",61.8474,24.2948,"2006-06-10 12:30:00","ENF","Continental",15.17,806.96,35.41,1.1139,4.95,370.77,0.19054,2.5939763,0,1,1,1,0.255644151570283
