,Unnamed: 0,Site,Lat,Lon,Datetime,PFT,Climate,Tair,SW,RH,VPD,WS,Ca,SWC,LAI,flag_rain,flag_daytime,flag_GS,flag_peak,Gs
1523,162335,US-SRC,31.9083,-110.8395,2012-03-27 14:00:00,OSH,Arid,27.6,819.0,9.381,3.347,2.43,393.0,0.092,0.29863778,0,1,1,0,0.0180903332346408
451,257817,US-Goo,34.2547,-89.8735,2002-07-29 14:00:00,GRA,Temperate,32.201,805.0,62.5,1.812,2.73,-9999.0,0.32,3.1273482,0,1,1,0,0.236950486835457
2538,335371,SN-Dhr,15.4028,-15.4322,2012-07-11 08:30:00,SAV,Arid,26.998,630.707,66.1976,1.2053,4.419,-9999.0,0.09675,0.48314613,0,1,1,1,0.364973689154403
4137,207960,US-MMS,39.3232,-86.4131,2014-06-23 14:00:00,DBF,Continental,29.24,620.236,63.828,1.476,3.635,386.044,0.35129,3.4454751,0,1,1,1,0.505161545864278
4775,24127,US-Wkg,31.7365,-109.9419,2014-12-11 09:00:00,GRA,Arid,13.97,372.9,32.03,1.084,5.455,394.584,0.09,0.2,0,1,1,0,0.0491711354692299
1311,710292,CA-TP3,42.7068,-80.3483,2012-04-01 09:00:00,ENF,Continental,3.801,129.272,88.9,0.09,2.215,432.161,0.11,1.3062158,0,1,1,0,0.762313756973319
3149,346323,RU-Fyo,56.4615,32.9221,2011-04-20 17:00:00,ENF,Continental,8.213,351.963,30.6833,0.7547,2.712,400.288,0.37448,1.2111416,0,1,1,0,0.0794693949134974
1111,221077,US-Me2,44.4523,-121.5574,2007-08-01 08:00:00,ENF,Temperate,20.6,584.4,23.2,1.862,4.01,367.6,0.098,1.9174743,0,1,1,0,0.165400348002926
4547,678623,CH-Cha,47.2102,8.4104,2011-04-20 10:30:00,GRA,Continental,17.794,788.74,39.457,1.2339,1.664,412.438,0.39345,6.3951578,0,1,1,1,0.297021510013581
4085,314518,US-ARc,35.5465,-98.04,2005-08-20 08:00:00,GRA,Temperate,27.49,407.6,80.1,0.734,5.393,368.843,0.2376,1.5040913,0,1,1,0,0.355899715798142
3489,756856,CA-Gro,48.2167,-82.1556,2009-05-13 14:00:00,MF,Continental,17.849,786.035,28.506,1.462,10.36,390.773,0.52487,1.7576404,0,1,1,0,0.125751493972796
1287,677228,CH-Cha,47.2102,8.4104,2009-10-03 14:30:00,GRA,Continental,20.722,471.19,49.576,1.2331,0.433,378.832,0.35496,5.2931948,0,1,1,1,0.232364649842049
4177,61407,US-Var,38.4133,-120.9508,2012-02-09 13:30:00,GRA,Temperate,20.101,512.24,46.094,1.269,2.503,380.134,0.21385,0.81757993,0,1,1,0,0.13421333130621
4645,934495,AU-DaS,-14.1593,131.3881,2011-05-23 11:00:00,SAV,Tropical,28.04,686.0,47.0,2.0086,1.94,383.4,0.033,1.0059164,0,1,1,0,0.149532778798547
3680,694093,CA-TP4,42.7102,-80.3574,2010-07-18 11:30:00,ENF,Continental,26.19,924.0,68.63,1.067,3.162,377.329,0.089,5.4102936,0,1,1,1,0.537623059867761
4511,290381,US-Blo,38.8953,-120.6328,2004-03-20 11:00:00,ENF,Temperate,20.655,801.736,25.656,1.735,1.719,370.399,0.24773,1.8014619,0,1,1,0,0.211855490413171
4168,429334,IT-Noe,40.6062,8.1517,2005-06-27 12:30:00,CSH,Temperate,30.15,957.31,66.2,1.4469,2.388,382.47,0.17291,1.8875384,0,1,1,0,0.0426364888067851
3300,31068,US-Whs,31.7438,-110.0522,2012-08-15 11:30:00,OSH,Arid,28.96,796.6,35.229,2.589,3.334,376.14,0.03,0.39022055,0,1,1,0,0.0156285387510334
3310,386391,IT-SRo,43.7279,10.2844,2003-05-25 10:30:00,ENF,Temperate,21.8,861.714,69.8368,0.788,1.55,388.822,0.08947,3.9021475,0,1,1,1,0.274400852175119
4556,639510,DE-Geb,51.0997,10.9146,2005-05-11 16:00:00,CRO,Continental,12.39,426.8,48.32,0.7439,4.83,345.801,0.20953,2.8456244,0,1,1,1,0.394819797933953
3125,940311,AU-DaS,-14.1593,131.3881,2013-08-21 10:00:00,SAV,Tropical,28.22,596.0,55.0,1.7233,1.71,342.3,0.03,0.89425802,0,1,1,0,0.0473855702871436
327,418138,IT-Ren,46.5869,11.4337,2011-07-30 12:00:00,ENF,Continental,16.04,836.77,49.0,0.93,1.54,364.22,0.22,2.1649237,0,1,1,1,0.450305553956321
1790,846324,AU-Rig,-36.6499,145.5759,2014-09-03 11:00:00,GRA,Temperate,12.3,740.0,56.0,0.6296,3.49,374.3,0.206,4.3305254,0,1,1,1,0.602390804986593
2490,360855,NL-Loo,52.1666,5.7436,2008-09-09 09:30:00,ENF,Temperate,17.89,504.0,71.1,0.5925,1.67,378.72,0.057,3.2222354,0,1,1,0,0.508375013678948
2006,571157,DE-Tha,50.9626,13.5651,2005-03-25 13:00:00,ENF,Continental,15.95,457.052,46.21,0.9752,2.523,387.79,0.239,1.4725647,0,1,1,0,0.19849048283644
2007,122818,US-SRM,31.8214,-110.8661,2007-07-26 13:00:00,WSA,Arid,27.28,1099.0,51.988,1.74,2.492,364.795,0.0729,0.44964015,0,1,1,1,0.137120497609849
1858,985123,AT-Neu,47.1167,11.3175,2010-07-26 13:30:00,GRA,Continental,17.55,512.65,54.3,0.9171,0.33,419.139,0.25,2.9682403,0,1,1,1,0.229679015283508
4685,951572,AU-DaP,-14.0633,131.3181,2013-01-07 11:30:00,GRA,Tropical,32.06,896.0,59.0,1.9566,1.34,345.8,0.128,2.3203671,0,1,1,1,0.434432309008943
312,136459,US-SRM,31.8214,-110.8661,2013-09-13 15:00:00,WSA,Arid,31.38,739.1,28.203,3.297,0.846,384.554,0.0686,0.68614489,0,1,1,1,0.0547998634214064
832,7490,US-Wkg,31.7365,-109.9419,2005-09-04 11:00:00,GRA,Arid,25.28,1014.39,47.549,1.69,2.565,356.569,0.07,0.38807973,0,1,1,0,0.014552454951053
3079,756462,CA-Gro,48.2167,-82.1556,2008-08-22 11:30:00,MF,Continental,22.796,383.315,70.939,0.807,3.873,364.918,0.36025,4.1566763,0,1,1,1,0.494611084278998
4717,842517,AU-Rig,-36.6499,145.5759,2011-03-20 13:00:00,GRA,Temperate,27.86,830.0,44.0,2.1001,4.34,346.9,0.181,0.83160919,0,1,1,1,0.104357842166305
3462,530043,FI-Hyy,61.8474,24.2948,2006-08-24 11:00:00,ENF,Continental,19.48,659.09,53.15,1.061,5.93,366.11,0.1037,2.6763635,0,1,1,0,0.1783801543377
1201,404485,IT-Ro2,42.3903,11.9209,2005-05-31 17:30:00,DBF,Temperate,22.03,236.4,83.7,0.4319,1.862,374.583,0.313,3.1741729,0,1,1,1,0.332454064492185
4391,632598,DE-Gri,50.95,13.5126,2013-06-12 12:00:00,GRA,Continental,22.62,947.85,44.66,1.5198,2.1,369.22,0.434,5.6804581,0,1,1,0,0.314273446324471
3547,14371,US-Wkg,31.7365,-109.9419,2009-12-06 09:30:00,GRA,Arid,6.162,475.1,45.505,0.516,6.225,385.487,0.1,0.1,0,1,1,0,0.0568249335394547
4922,531078,FI-Hyy,61.8474,24.2948,2007-07-17 15:00:00,ENF,Continental,22.99,511.118,38.63,1.7236,2.72,370.92,0.22084,2.759474,0,1,1,1,0.213830697309665
2134,365319,NL-Loo,52.1666,5.7436,2010-10-10 08:00:00,ENF,Temperate,7.75,155.2,91.1,0.0939,3.331,404.65,0.088,2.054656,0,1,1,0,0.536142207133896
3451,312794,US-ARM,36.6058,-97.4888,2012-04-28 13:00:00,CRO,Temperate,19.34,306.7,64.56,0.799,4.341,365.774,0.10206,2.3350735,0,1,1,1,0.228276064864373
2209,42305,US-WCr,45.8059,-90.0799,2012-08-11 08:00:00,DBF,Continental,15.069,539.194,84.141,0.273,2.241,392.457,0.35726,5.0950017,0,1,1,1,1.14761778342749
1901,381587,IT-Tor,45.8444,7.5781,2012-07-30 11:00:00,GRA,Continental,15.31,855.0,34.88,1.1332,2.405,367.165,0.27582,2.7887635,0,1,1,1,0.579313864818277
1481,437669,IT-Noe,40.6062,8.1517,2012-06-01 07:30:00,CSH,Temperate,22.2,397.69,89.0,0.2945,1.024,469.478,0.32477,2.0145679,0,1,1,1,0.356380094038083
777,837361,AU-Stp,-17.1507,133.3502,2013-05-08 16:00:00,GRA,Arid,32.34,300.0,24.0,3.6846,3.69,372.6,0.059,0.44154865,0,1,1,0,0.0172524362949918
799,523565,FR-Gri,48.8442,1.9519,2008-06-21 08:30:00,CRO,Temperate,20.12,395.2,75.8,0.5702,1.978,364.227,0.29352,1.3986017,0,1,1,1,0.33786181689245
3714,883097,AU-Gin,-31.3764,115.7138,2012-04-06 08:00:00,WSA,Temperate,12.91,239.0,65.0,0.5213,5.12,372.3,0.03,1.1531286,0,1,1,0,0.491791221341912
3942,983441,AT-Neu,47.1167,11.3175,2009-05-18 11:00:00,GRA,Continental,19.08,980.553,62.688,0.8242,3.794,374.108,0.18418,2.4520011,0,1,1,1,0.5705764602698
54,311234,US-ARM,36.6058,-97.4888,2011-03-16 09:00:00,CRO,Temperate,11.4,491.5,66.59,0.453,4.655,403.854,0.18495,0.87935108,0,1,1,1,0.408723847165425
2972,515073,FR-LBr,44.7171,-0.7693,2005-07-11 15:00:00,ENF,Temperate,29.11,795.61,33.4,2.6855,3.23,363.4,0.21721,2.5029893,0,1,1,0,0.0977190130668328
3335,318007,US-ARb,35.5497,-98.0402,2005-05-16 14:00:00,GRA,Temperate,23.46,900.0,47.35,1.527,5.736,353.596,0.29705,1.3751757,0,1,1,1,0.304945607645122
1920,743400,CA-Qfo,49.6925,-74.3421,2004-08-15 14:30:00,ENF,Continental,20.39,569.5,38.7,1.474,3.589,356.057,0.127,2.0135574,0,1,1,1,0.21010831727641
3715,551397,ES-LJu,36.9266,-2.7521,2013-06-08 15:30:00,OSH,Arid,13.22,637.265,53.6196,0.7049,1.005,387.772,0.15465,0.69087875,0,1,1,1,0.0106785626997197
4646,87262,US-Ton,38.4309,-120.966,2007-07-21 16:30:00,WSA,Temperate,31.53,467.196,21.99,3.611,3.308,374.826,0.067,1.1481469,0,1,1,0,0.0146937130415802
946,916768,AU-Dry,-15.2588,132.3706,2012-10-16 14:00:00,SAV,Tropical,36.93,782.0,16.0,5.2521,1.94,387.2,0.04,1.1119393,0,1,1,0,0.0087049179068543
1701,268944,US-GLE,41.3665,-106.2399,2010-07-14 07:30:00,ENF,Continental,10.926,512.492,52.639,0.621,5.914,388.295,0.38985,1.0013123,0,1,1,1,0.145743024185923
3293,283401,US-Blo,38.8953,-120.6328,2001-10-29 09:00:00,ENF,Temperate,9.067,256.006,84.987,0.224,2.385,365.952,0.10567,2.325012,0,1,1,0,0.0543252287137621
2161,221140,US-Me2,44.4523,-121.5574,2007-08-05 16:30:00,ENF,Temperate,20.9,471.5,39.5,1.49,3.38,359.4,0.096,1.9146993,0,1,1,0,0.0971309692153076
1136,726506,CA-TP1,42.6609,-80.5595,2012-05-25 16:30:00,ENF,Continental,29.15,412.069,50.9,1.984,2.209,398.756,0.066,1.9514894,0,1,1,1,0.0201594619693022
987,86026,US-Ton,38.4309,-120.966,2007-04-13 13:30:00,WSA,Temperate,19.01,809.741,33.89,1.453,1.862,357.817,0.212,2.4303362,0,1,1,1,0.356293914859151
